route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
862,1602A2876,107075A1602B2876,,Newark,0,,8,0
861,1602A2876,106559A1602B2876,,33rd Street,1,,7,0
860,1602A2876,105970A1602B2876,,World Trade Center,1,,4,0
860,1602A2876,105918A1602B2876,,World Trade Center,1,,4,0
862,1603A2876,106999A1603B2876,,World Trade Center,1,,10,0
1024,1604A2876,106216A1604B2876,,Journal Square via Hoboken,0,,5,0
1024,1603A2876,106388A1603B2876,,33rd via Hoboken,1,,1,0
862,1602A2876,107191A1602B2876,,Newark,0,,8,0
859,1602A2876,105863A1602B2876,,Hoboken,0,,9,0
861,1602A2876,106679A1602B2876,,Journal Square,0,,6,0
860,1602A2876,105922A1602B2876,,World Trade Center,1,,4,0
1024,1603A2876,106321A1603B2876,,33rd via Hoboken,1,,1,0
862,1604A2876,106863A1604B2876,,World Trade Center,1,,10,0
862,1602A2876,107059A1602B2876,,Newark,0,,8,0
862,1603A2876,107012A1603B2876,,World Trade Center,1,,10,0
862,1603A2876,106990A1603B2876,,World Trade Center,1,,10,0
861,1602A2876,106613A1602B2876,,33rd Street,1,,7,0
861,1602A2876,106744A1602B2876,,Journal Square,0,,6,0
860,1602A2876,106046A1602B2876,,Hoboken,0,,3,0
859,1602A2876,105726A1602B2876,,33rd Street,1,,2,0
1024,1602A2876,106510A1602B2876,,33rd via Hoboken,1,,1,0
1024,1604A2876,106134A1604B2876,,33rd via Hoboken,1,,1,0
860,1602A2876,106103A1602B2876,,Hoboken,0,,3,0
860,1602A2876,105987A1602B2876,,World Trade Center,1,,4,0
861,1602A2876,106637A1602B2876,,33rd Street,1,,7,0
862,1602A2876,107336A1602B2876,,World Trade Center,1,,10,0
859,1602A2876,105876A1602B2876,,Hoboken,0,,9,0
862,1604A2876,106865A1604B2876,,World Trade Center,1,,10,0
862,1604A2876,106816A1604B2876,,Newark,0,,8,0
1024,1603A2876,106336A1603B2876,,33rd via Hoboken,1,,1,0
862,1604A2876,106878A1604B2876,,World Trade Center,1,,10,0
1024,1603A2876,106425A1603B2876,,Journal Square via Hoboken,0,,5,0
862,1602A2876,107103A1602B2876,,Newark,0,,8,0
859,1602A2876,105908A1602B2876,,Hoboken,0,,9,0
859,1602A2876,105801A1602B2876,,Hoboken,0,,9,0
1024,1603A2876,106386A1603B2876,,33rd via Hoboken,1,,1,0
862,1602A2876,107088A1602B2876,,Newark,0,,8,0
862,1604A2876,106823A1604B2876,,Newark,0,,8,0
1024,1603A2876,106358A1603B2876,,33rd via Hoboken,1,,1,0
862,1603A2876,106977A1603B2876,,Newark,0,,8,0
862,1602A2876,107072A1602B2876,,Newark,0,,8,0
1024,1603A2876,106338A1603B2876,,33rd via Hoboken,1,,1,0
860,1602A2876,106109A1602B2876,,Hoboken,0,,3,0
862,1602A2876,107139A1602B2876,,Newark,0,,8,0
859,1602A2876,105811A1602B2876,,Hoboken,0,,9,0
861,1602A2876,106670A1602B2876,,33rd Street,1,,7,0
861,1602A2876,106783A1602B2876,,Journal Square,0,,6,0
860,1602A2876,105961A1602B2876,,World Trade Center,1,,4,0
861,1602A2876,106652A1602B2876,,33rd Street,1,,7,0
1024,1603A2876,106460A1603B2876,,Journal Square via Hoboken,0,,5,0
862,1604A2876,106806A1604B2876,,Newark,0,,8,0
860,1602A2876,106059A1602B2876,,Hoboken,0,,3,0
861,1602A2876,106712A1602B2876,,Journal Square,0,,6,0
859,1602A2876,105727A1602B2876,,33rd Street,1,,2,0
859,1602A2876,105790A1602B2876,,33rd Street,1,,2,0
859,1602A2876,105873A1602B2876,,Hoboken,0,,9,0
861,1602A2876,106603A1602B2876,,33rd Street,1,,7,0
859,1602A2876,105779A1602B2876,,33rd Street,1,,2,0
